order-id,order-date,product,category,region,state,city,payment-method,quantity,unit-price,total
c4da537c-1651-4dae-8486-7db30d67b366,2023-02-25,Calça Jeans Levi’s,Roupas,Norte,Pará,Belém,Cartão de Crédito,4,229.9,919.6
d6a82a95-1b92-4e0a-843c-def36840ff07,2023-03-23,Geladeira Brastemp Frost Free 375L,Eletrodomésticos,Sul,Rio Grande do Sul,Pelotas,Cartão de Débito,3,2799.0,8397.0
610e4ad5-09c4-4055-9ff4-948fe6b4f832,2023-08-12,Arroz Tio João 5kg,Alimentos,Sul,Santa Catarina,Florianópolis,Cartão de Crédito,5,25.0,125.0
573e8d77-550a-4889-8ff4-1e8d8944897c,2023-02-22,Micro-ondas Electrolux 20L,Eletrodomésticos,Sudeste,São Paulo,São Paulo,Cartão de Crédito,1,499.0,499.0
2293202c-28df-4298-8d49-6d4bda22594f,2023-10-21,1984,Livros,Nordeste,Bahia,Salvador,PIX,3,35.0,105.0
b3a1f131-5573-4e2d-8f9b-34c95653d4bd,2023-04-16,Micro-ondas Electrolux 20L,Eletrodomésticos,Sudeste,São Paulo,Sorocaba,Dinheiro,5,499.0,2495.0
e7e96d54-006d-4b34-a9ed-479c3ec3068c,2023-09-20,Tênis Nike Revolution 6,Roupas,Sul,Santa Catarina,Florianópolis,PIX,5,279.9,1399.5
e0edeaf1-166d-4683-8609-dcba6fafc520,2023-11-27,Geladeira Brastemp Frost Free 375L,Eletrodomésticos,Sul,Santa Catarina,Joinville,Cartão de Débito,1,2799.0,2799.0
01b0366f-11e3-44ee-a0aa-0d3098fc4743,2023-06-22,Feijão Carioca 1kg,Alimentos,Sudeste,Rio de Janeiro,Volta Redonda,Dinheiro,4,8.0,32.0
1a1f141b-72c5-4633-bb66-ecb350c1eb44,2023-04-07,Geladeira Brastemp Frost Free 375L,Eletrodomésticos,Norte,Pará,Marabá,Dinheiro,1,2799.0,2799.0
aac9912d-17bf-4b18-8b3c-354de7c834d3,2023-09-30,Heineken Long Neck,Bebidas,Centro-Oeste,Goiás,Rio Verde,Dinheiro,1,5.5,5.5
e81775f3-ca42-45f7-a051-e671246595df,2023-03-20,Perfume Malbec 100ml,Beleza,Centro-Oeste,Mato Grosso do Sul,Campo Grande,Dinheiro,4,159.0,636.0
6e3e43c2-e941-4995-8ab3-8105056fb885,2023-08-22,Galaxy S22,Smartphones,Sudeste,Minas Gerais,Belo Horizonte,Cartão de Débito,1,3999.0,3999.0
7823908d-43ec-4f85-ba17-a6a492cadf50,2023-08-04,Tênis Nike Revolution 6,Roupas,Centro-Oeste,Mato Grosso do Sul,Dourados,Cartão de Crédito,1,279.9,279.9
4e1ad87e-c4cf-4b8a-8968-02f6d67c8720,2023-08-10,Dell Inspiron 15,Notebooks,Sul,Paraná,Maringá,Cartão de Crédito,5,3499.0,17495.0
7ba35975-cd2e-4163-858c-2e6e57ed22d0,2023-05-15,Moto G73,Smartphones,Sudeste,São Paulo,Sorocaba,PIX,1,1899.0,1899.0
a3858cde-9be1-492e-923e-e3c934f4f040,2023-11-24,Geladeira Brastemp Frost Free 375L,Eletrodomésticos,Sul,Santa Catarina,Joinville,Cartão de Débito,4,2799.0,11196.0
f5e77d4d-cf30-4f2d-9097-a70286ee6241,2023-02-10,Água Crystal 1.5L,Bebidas,Norte,Amazonas,Itacoatiara,Cartão de Crédito,5,3.5,17.5
e497cd2f-65f2-4f76-8336-5a0850b51605,2023-05-30,Café Pilão 500g,Alimentos,Sudeste,Rio de Janeiro,Volta Redonda,PIX,3,16.0,48.0
6f33f708-8343-4946-a56a-62c3c4ef7978,2023-07-17,Café Pilão 500g,Alimentos,Nordeste,Ceará,Fortaleza,PIX,1,16.0,16.0
cbe54c28-a36b-4e87-89dc-68ceaf517df1,2023-12-31,Micro-ondas Electrolux 20L,Eletrodomésticos,Nordeste,Ceará,Fortaleza,PIX,3,499.0,1497.0
d560f64b-e3dd-4ffa-98b4-85deaaaa1310,2023-06-25,Geladeira Brastemp Frost Free 375L,Eletrodomésticos,Sudeste,São Paulo,São Paulo,Dinheiro,1,2799.0,2799.0
6b641b3b-ab20-4d48-8546-a1a97c73708c,2023-06-24,Água Crystal 1.5L,Bebidas,Sul,Rio Grande do Sul,Pelotas,Cartão de Crédito,3,3.5,10.5
d8eb6412-0826-4069-8293-b3205fe0a658,2023-07-23,Micro-ondas Electrolux 20L,Eletrodomésticos,Sul,Paraná,Curitiba,Cartão de Crédito,5,499.0,2495.0
b9cfda65-2e74-4c1f-a53c-4cc6c1117e2f,2023-05-18,Galaxy S22,Smartphones,Norte,Amazonas,Manaus,Dinheiro,2,3999.0,7998.0
7ca5d0ed-e9e4-42dd-9525-e9d3d1f7fbe4,2023-10-01,Geladeira Brastemp Frost Free 375L,Eletrodomésticos,Norte,Pará,Belém,Cartão de Débito,4,2799.0,11196.0
55bc0a69-2b8d-4f81-830b-0b04a8778c53,2023-10-23,Moto G73,Smartphones,Sudeste,Rio de Janeiro,Volta Redonda,PIX,3,1899.0,5697.0
e2485bb6-6425-4e83-8de0-4a9e5640230e,2023-06-25,Redmi Note 12,Smartphones,Sudeste,São Paulo,São Paulo,Dinheiro,1,1499.0,1499.0
633d6624-74ee-4fd8-b91d-f46412c32f37,2023-06-11,Micro-ondas Electrolux 20L,Eletrodomésticos,Norte,Pará,Marabá,Boleto,2,499.0,998.0
042cc7c2-560b-4cb9-875b-693192bb2bfd,2023-02-01,Feijão Carioca 1kg,Alimentos,Sudeste,Minas Gerais,Belo Horizonte,PIX,4,8.0,32.0
d4e3fda5-1691-49e2-9611-516c30665bc3,2023-02-05,Calça Jeans Levi’s,Roupas,Sul,Santa Catarina,Florianópolis,Boleto,1,229.9,229.9
e56a0eb1-0348-44bc-9d0f-5781a0d96ade,2023-10-28,Camiseta Hering Masculina,Roupas,Centro-Oeste,Mato Grosso do Sul,Campo Grande,PIX,3,39.9,119.7
